channel,source_metric,comparison_filename,comparison_subrun,comparison_status,comparison_role,processed_sequence_offset_from_role_target,file_unique_events,target_channel_rows,target_channel_unique_events,occupancy,n_values,n_nan,n_inf,min,max,mean,std,median,q25,q75
82,pulseDuriation_max,Digitizer_run2014_subrun609.csv,609,WARN,WARN_target_next_1,1,998,241,241,0.24148296593186372,241,0,0,22.49,2507.49,1010.3634439834024,885.7343443202968,619.99,254.99,1727.49
82,pulseDuriation_max,Digitizer_run2014_subrun611.csv,611,WARN,WARN_target_next_2,2,1000,232,232,0.232,232,0,0,54.99,2507.49,1047.3930172413793,939.3104834273761,597.49,249.365,2064.99
82,pulseDuriation_max,Digitizer_run2014_subrun94.csv,94,OK,OK_target,0,993,137,137,0.1379657603222558,137,0,0,59.99,2507.49,528.0556934306569,638.5626230792224,302.49,192.49,462.49
82,pulseDuriation_max,Digitizer_run2014_subrun88.csv,88,OK,OK_target_previous_2,-2,991,127,127,0.12815338042381433,127,0,0,54.99,2507.49,518.3561417322833,617.9371868243506,304.99,192.49,493.74
82,pulseDuriation_max,Digitizer_run2014_subrun90.csv,90,OK,OK_target_previous_1,-1,994,127,127,0.12776659959758552,127,0,0,54.99,2507.49,569.2419685039372,638.1944019953149,314.99,216.24,524.99
82,pulseDuriation_max,Digitizer_run2014_subrun95.csv,95,OK,OK_target_next_1,1,996,128,128,0.1285140562248996,128,0,0,54.99,2507.49,603.9548437499998,665.1919774505269,376.24,208.115,589.365
82,pulseDuriation_max,Digitizer_run2014_subrun96.csv,96,OK,OK_target_next_2,2,988,124,124,0.12550607287449392,124,0,0,54.99,2507.49,538.5585483870968,629.4707718234338,298.74,216.865,489.365
82,pulseDuriation_min,Digitizer_run2014_subrun605.csv,605,WARN,WARN_target,0,994,226,226,0.22736418511066397,226,0,0,12.49,2507.49,712.3793805309733,969.0066155823091,202.49,82.49,661.24
82,pulseDuriation_min,Digitizer_run2014_subrun603.csv,603,WARN,WARN_target_previous_2,-2,998,245,245,0.24549098196392785,245,0,0,22.49,2507.49,541.5308163265306,845.0746877261182,144.99,82.49,387.49
82,pulseDuriation_min,Digitizer_run2014_subrun604.csv,604,WARN,WARN_target_previous_1,-1,998,224,224,0.22444889779559118,224,0,0,19.99,2507.49,719.4542857142854,994.8613446763956,162.49,84.99,771.24
82,pulseDuriation_min,Digitizer_run2014_subrun609.csv,609,WARN,WARN_target_next_1,1,998,241,241,0.24148296593186372,241,0,0,22.49,2507.49,595.5294190871368,889.9628793183798,162.49,84.99,432.49
82,pulseDuriation_min,Digitizer_run2014_subrun611.csv,611,WARN,WARN_target_next_2,2,1000,232,232,0.232,232,0,0,19.99,2507.49,712.1020689655171,975.1804752186381,191.24,84.99,710.615
82,pulseDuriation_min,Digitizer_run2014_subrun94.csv,94,OK,OK_target,0,993,137,137,0.1379657603222558,137,0,0,19.99,2507.49,286.5958394160584,501.1089482875812,154.99,87.49,239.99
82,pulseDuriation_min,Digitizer_run2014_subrun88.csv,88,OK,OK_target_previous_2,-2,991,127,127,0.12815338042381433,127,0,0,12.49,2507.49,277.25377952755883,482.5863925730945,124.99,61.24,302.49
82,pulseDuriation_min,Digitizer_run2014_subrun90.csv,90,OK,OK_target_previous_1,-1,994,127,127,0.12776659959758552,127,0,0,12.49,2507.49,358.90732283464547,606.3265653297091,179.99,81.24,302.49
82,pulseDuriation_min,Digitizer_run2014_subrun95.csv,95,OK,OK_target_next_1,1,996,128,128,0.1285140562248996,128,0,0,12.49,2507.49,325.5368749999999,553.5575652995755,152.49,79.99,291.24
82,pulseDuriation_min,Digitizer_run2014_subrun96.csv,96,OK,OK_target_next_2,2,988,124,124,0.12550607287449392,124,0,0,12.49,2507.49,318.0141935483869,552.9158915691886,164.99,73.74,293.115
82,sideband_rms,Digitizer_run2014_subrun605.csv,605,WARN,WARN_target,0,994,226,226,0.22736418511066397,226,0,0,5.00306,120.351,6.75979668141593,8.300767749849223,5.929245,5.674575,6.1839475
82,sideband_rms,Digitizer_run2014_subrun603.csv,603,WARN,WARN_target_previous_2,-2,998,245,245,0.24549098196392785,245,0,0,5.01265,288.408,7.368558571428571,18.400655955113105,5.9332,5.63642,6.25159
82,sideband_rms,Digitizer_run2014_subrun604.csv,604,WARN,WARN_target_previous_1,-1,998,224,224,0.22444889779559118,224,0,0,4.91983,104.074,6.5947212946428575,7.328735168118365,5.86341,5.5718049999999995,6.1430475
82,sideband_rms,Digitizer_run2014_subrun609.csv,609,WARN,WARN_target_next_1,1,998,241,241,0.24148296593186372,241,0,0,4.77561,117.163,6.953288962655601,9.432349729640551,5.91397,5.64669,6.17786
