case,filename,subrun,status,target_channel,feature,observed_value,reference_mean,reference_std_pre_floor,reference_std_used,std_floor_applied,z_score,abs_z,triggered_by_z_threshold,canonical_max_z_exact,canonical_max_z_rounded,canonical_method,canonical_if_score
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,sideband_rms_mean,2.70618775,2.465191680754964,1.7177791236287694,1.7177791236287694,False,0.14029514384593125,0.14029514384593125,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,frac_dead,0.0,0.0,0.0,1e-06,True,0.0,0.0,False,67.36303007820105,67.36,statistical,-0.5898
C,Digitizer_run2014_subrun3.csv,3,ALERT,66,nPulses_median,2.0,1.0025705052878953,0.04725890660442968,0.04725890660442968,False,21.105640531654057,21.105640531654057,True,21.105640531654057,21.11,statistical,-0.5253
C,Digitizer_run2014_subrun3.csv,3,ALERT,66,pulseHeight_max_mean,-569.2126423076924,-444.5540576127305,58.435082020793395,58.435082020793395,False,-2.1332833014695463,2.1332833014695463,False,21.105640531654057,21.11,statistical,-0.5253
C,Digitizer_run2014_subrun3.csv,3,ALERT,66,pulseDuriation_max_median,322.49,279.9385898942428,20.123453555487192,20.123453555487192,False,2.114518265387625,2.114518265387625,False,21.105640531654057,21.11,statistical,-0.5253
C,Digitizer_run2014_subrun3.csv,3,ALERT,66,nPulses_mean,1.6923076923076923,1.4818700163965044,0.10153643098549639,0.10153643098549639,False,2.0725337090216134,2.0725337090216134,False,21.105640531654057,21.11,statistical,-0.5253
C,Digitizer_run2014_subrun3.csv,3,ALERT,66,pulseArea_max_median,16409.5,10028.122209165684,3119.6861166839712,3119.6861166839712,False,2.0455191811467612,2.0455191811467612,False,21.105640531654057,21.11,statistical,-0.5253
C,Digitizer_run2014_subrun3.csv,3,ALERT,66,pulseArea_max_mean,48250.9358974359,33608.9447449645,7947.134873313906,7947.134873313906,False,1.8424238906072294,1.8424238906072294,False,21.105640531654057,21.11,statistical,-0.5253
C,Digitizer_run2014_subrun3.csv,3,ALERT,66,pulseHeight_max_median,-331.96799999999996,-220.088621349883,65.03532331424965,65.03532331424965,False,-1.7202863451530421,1.7202863451530421,False,21.105640531654057,21.11,statistical,-0.5253
C,Digitizer_run2014_subrun3.csv,3,ALERT,66,pulseDuriation_min_median,158.74,189.04699177438278,19.3530219616197,19.3530219616197,False,-1.5660082355348242,1.5660082355348242,False,21.105640531654057,21.11,statistical,-0.5253
C,Digitizer_run2014_subrun3.csv,3,ALERT,66,sideband_rms_std,28.167255264352672,10.867609346747853,12.845428288706108,12.845428288706108,False,1.346755088953704,1.346755088953704,False,21.105640531654057,21.11,statistical,-0.5253
C,Digitizer_run2014_subrun3.csv,3,ALERT,66,sideband_rms_mean,5.363886794871795,2.674227736953487,2.0322785982681,2.0322785982681,False,1.323469656281587,1.323469656281587,False,21.105640531654057,21.11,statistical,-0.5253
C,Digitizer_run2014_subrun3.csv,3,ALERT,66,sideband_mean_std,122.34431746764182,52.5657069596004,55.16969324629185,55.16969324629185,False,1.2647996826179833,1.2647996826179833,False,21.105640531654057,21.11,statistical,-0.5253
C,Digitizer_run2014_subrun3.csv,3,ALERT,66,sideband_mean_mean,-17.509921921794874,-5.767053938768642,9.33434325568384,9.33434325568384,False,-1.258028300585132,1.258028300585132,False,21.105640531654057,21.11,statistical,-0.5253
