case,filename,subrun,target_channel,channel,nPulses_mean,nPulses_median,nPulses_std,occupancy,frac_dead,z_nPulses_median,abs_z_nPulses_median,above_z8,above_z15,is_target_channel
B,Digitizer_run2014_subrun902.csv,902,38,84,1.625,1.5,0.7109393663377318,0.039473684210526314,0.0,1.6425717635802537,1.6425717635802537,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,92,2.727272727272727,2.0,2.1713101431724464,0.07236842105263158,0.0,1.3584697781784483,1.3584697781784483,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,68,1.6216216216216217,1.0,0.8283635591853291,0.06085526315789474,0.0,-0.6468654214345858,0.6468654214345858,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,80,2.417910447761194,1.0,2.004875663977775,0.22039473684210525,0.0,-0.5216250173665433,0.5216250173665433,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,82,2.557046979865772,2.0,1.8246900897011673,0.2450657894736842,0.0,0.509606901123599,0.509606901123599,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,93,2.8392857142857144,2.0,1.7362067380596677,0.3684210526315789,0.0,0.5032118698915313,0.5032118698915313,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,16,1.4705882352941178,1.0,1.007326105267277,0.027960526315789474,0.0,-0.48906527818048423,0.48906527818048423,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,8,1.5416666666666667,1.0,0.832970935693524,0.039473684210526314,0.0,-0.4582106737329065,0.4582106737329065,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,17,1.5384615384615385,1.0,0.8770580193070292,0.02138157894736842,0.0,-0.45235636011199404,0.45235636011199404,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,78,2.154639175257732,1.0,1.536637333768982,0.15953947368421054,0.0,-0.2980803483934436,0.2980803483934436,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,71,1.908450704225352,1.0,1.4237346233391026,0.23355263157894737,0.0,-0.28459354528863434,0.28459354528863434,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,85,1.4761904761904763,1.0,0.7496030695673289,0.03453947368421053,0.0,-0.25393396180765865,0.25393396180765865,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,44,1.6744186046511629,1.0,1.0628114161563624,0.07072368421052631,0.0,-0.24556915214514916,0.24556915214514916,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,19,1.4285714285714286,1.0,0.7867957924694432,0.011513157894736841,0.0,-0.20991856567353093,0.20991856567353093,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,28,1.558139534883721,1.0,0.881079575385608,0.07072368421052631,0.0,-0.19716622900896522,0.19716622900896522,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,74,1.6842105263157894,1.0,0.9892739122203291,0.0625,0.0,-0.1735791898145991,0.1735791898145991,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,6,1.263157894736842,1.0,0.4524139283588642,0.03125,0.0,-0.16802280423907515,0.16802280423907515,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,88,1.542857142857143,1.0,0.7413365173339116,0.05756578947368421,0.0,-0.16502318695329443,0.16502318695329443,False,False,False
